TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Rick Fox, SF,53,7,19.6,8.8,1.2,1.8,2.9,2.6,0.98,0.36,1.5,2.9,1.8,3.2,6.6,.481,0.6,1.4,.413,1.8,2.3,0.77,2.6,5.2,.500,1.322,0.53
bos,Sherman Douglas, G,65,43,31.5,14.7,0.7,1.9,2.6,6.9,1.23,0.03,2.5,2.3,2.8,5.6,11.8,.475,0.3,1.3,.244,3.1,4.6,0.69,5.3,10.5,.502,1.241,0.49
bos,David Wesley, SG,51,36,27.1,7.4,0.6,1.7,2.3,5.2,1.61,0.18,1.7,2.8,3.1,2.5,6.1,.409,1.0,2.3,.429,1.4,1.8,0.76,1.5,3.8,.397,1.208,0.49
bos,Dino Radja, C,66,48,32.5,17.2,2.3,6.4,8.7,1.7,0.91,1.30,2.4,3.5,0.7,6.8,13.9,.490,0.0,0.0,.000,3.5,4.7,0.76,6.8,13.9,.490,1.233,0.49
bos,Derek Strong, F,70,24,19.2,6.3,1.9,3.4,5.4,0.6,0.34,0.19,1.1,2.0,0.6,2.1,4.7,.453,0.0,0.1,.286,2.0,2.5,0.82,2.1,4.6,.457,1.340,0.46
bos,Dee Brown, G,79,69,35.3,15.6,0.8,2.4,3.2,3.8,1.39,0.62,1.8,2.3,2.1,5.5,12.4,.447,1.6,4.1,.385,3.0,3.5,0.85,3.9,8.3,.478,1.265,0.51
bos,Blue Edwards, G†,31,7,16.4,7.1,0.8,1.3,2.1,1.5,0.61,0.32,1.3,2.1,1.2,2.7,6.3,.426,0.4,1.4,.256,1.4,1.5,0.90,2.3,4.9,.474,1.128,0.45
bos,Dominique Wilkins, F,77,64,31.5,17.8,2.0,3.2,5.2,2.2,0.79,0.18,2.2,1.7,1.0,6.4,15.2,.424,1.5,3.8,.388,3.5,4.4,0.78,4.9,11.4,.436,1.172,0.47
bos,Acie Earl, F,30,3,6.9,2.2,0.6,0.9,1.5,0.1,0.20,0.27,0.5,1.3,0.1,0.9,2.3,.382,0.0,0.0,.000,0.5,1.0,0.48,0.9,2.3,.382,.971,0.38
bos,Tony Harris, G,3,0,6.0,4.7,0.0,0.0,0.0,0.0,0.00,0.00,0.3,0.7,0.0,1.0,2.7,.375,0.0,0.3,.000,2.7,3.0,0.89,1.0,2.4,.429,1.750,0.38
bos,Jay Humphries, G†,6,0,8.7,1.7,0.3,0.2,0.5,1.7,0.33,0.00,0.8,1.7,2.0,0.7,1.5,.444,0.0,0.2,.000,0.3,0.7,0.50,0.7,1.3,.500,1.111,0.44
bos,Xavier Mcdaniel, F,68,15,21.0,8.6,1.4,3.0,4.4,1.6,0.44,0.29,1.3,2.1,1.2,3.6,8.0,.451,0.1,0.3,.286,1.3,1.8,0.71,3.5,7.7,.457,1.075,0.46
bos,Tony Dawson, F,2,0,6.5,4.0,0.0,1.5,1.5,0.5,0.00,0.00,1.0,2.0,0.5,1.5,4.0,.375,0.5,1.5,.333,0.5,0.5,1.00,1.0,2.5,.400,1.000,0.44
bos,Pervis Ellison, F,55,11,19.7,6.8,2.3,3.4,5.6,0.6,0.40,0.98,1.4,3.3,0.4,2.8,5.5,.507,0.0,0.0,.000,1.3,1.8,0.72,2.8,5.5,.510,1.250,0.51
bos,James Blackwell, G†,9,0,6.8,1.6,0.2,0.7,0.9,0.7,0.33,0.00,0.3,0.8,2.0,0.7,1.1,.600,0.0,0.0,.000,0.2,0.3,0.67,0.7,1.1,.600,1.400,0.60
bos,Greg Minor, G,63,8,15.0,6.0,0.8,1.4,2.2,1.0,0.51,0.25,0.7,1.4,1.5,2.5,4.8,.515,0.0,0.2,.167,1.0,1.2,0.83,2.5,4.6,.529,1.252,0.52
bos,Eric Montross, C,78,75,29.7,10.0,2.5,4.7,7.3,0.5,0.37,0.78,1.4,3.8,0.3,3.9,7.4,.534,0.0,0.0,.000,2.1,3.4,0.64,3.9,7.4,.535,1.358,0.53
bkn,Sleepy Floyd, G,48,1,17.3,4.1,0.2,1.0,1.1,2.6,0.27,0.13,1.1,1.5,2.5,1.5,4.4,.335,0.5,1.8,.284,0.6,0.9,0.70,1.0,2.6,.371,.929,0.39
bkn,Kevin Edwards, G,14,14,33.3,14.0,0.7,1.9,2.6,1.9,1.36,0.36,2.5,3.0,0.8,4.9,11.0,.448,1.3,3.2,.400,2.9,3.0,0.95,3.6,7.8,.468,1.273,0.51
bkn,Jayson Williams, C,75,6,13.1,4.8,2.4,3.3,5.7,0.5,0.35,0.44,0.8,2.1,0.6,2.0,4.3,.461,0.0,0.1,.000,0.9,1.6,0.53,2.0,4.2,.469,1.124,0.46
bkn,Kenny Anderson, PG,72,70,37.3,17.6,1.0,2.5,3.5,9.4,1.43,0.19,3.1,2.6,3.0,5.7,14.3,.399,1.3,4.1,.330,4.8,5.8,0.84,4.4,10.2,.426,1.229,0.45
bkn,P.J. Brown, PF,80,63,30.8,8.1,2.2,3.9,6.1,1.7,0.86,1.69,1.0,3.3,1.7,3.2,7.1,.446,0.1,0.3,.167,1.7,2.6,0.67,3.1,6.8,.458,1.142,0.45
bkn,Dwayne Schintzius, C,43,11,7.4,2.0,0.7,1.2,1.9,0.3,0.07,0.40,0.4,1.0,0.9,1.0,2.5,.380,0.0,0.0,.000,0.1,0.3,0.55,1.0,2.5,.380,.815,0.38
bkn,Sean Higgins, G,57,7,12.9,4.7,0.4,0.9,1.4,0.5,0.18,0.16,0.6,1.6,0.8,1.8,4.8,.385,0.4,1.4,.295,0.6,0.7,0.88,1.4,3.4,.421,.982,0.43
bkn,Chris Childs, G,53,11,19.3,5.8,0.3,1.0,1.3,4.1,0.79,0.06,1.4,2.2,2.9,2.0,5.3,.380,0.8,2.4,.328,1.0,1.4,0.75,1.2,2.9,.422,1.104,0.45
bkn,Chris Morris, F,71,49,30.0,13.4,2.5,3.1,5.7,2.1,1.21,0.72,1.6,2.2,1.3,4.9,12.1,.410,1.5,4.5,.334,2.0,2.7,0.73,3.4,7.6,.455,1.110,0.47
bkn,Rick Mahorn, F,58,7,10.9,3.4,0.8,2.0,2.8,0.4,0.19,0.21,0.6,1.6,0.8,1.4,2.6,.523,0.0,0.1,.333,0.7,0.8,0.80,1.4,2.5,.527,1.311,0.53
bkn,Yinka Dare, C,1,0,3.0,0.0,0.0,1.0,1.0,0.0,0.00,0.00,1.0,2.0,0.0,0.0,1.0,.000,0.0,0.0,.000,0.0,0.0,0.00,0.0,1.0,.000,.000,0.00
