TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
bos,Jiri Welsch, GF,81,68,26.9,9.2,0.7,2.9,3.7,2.3,1.25,0.09,1.6,2.2,1.4,12.7,3.2,7.6,.428,0.9,2.2,.381,1.9,2.5,0.74,2.3,5.4,.448,1.219,0.48
bos,Ricky Davis, SG†,57,5,29.4,14.1,1.0,3.1,4.2,2.6,1.25,0.25,2.1,2.1,1.2,16.1,5.5,11.2,.488,0.6,1.6,.380,2.5,3.5,0.73,4.9,9.6,.506,1.258,0.52
bos,Dana Barros, PG,1,0,11.0,6.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,2.0,0.0,17.9,2.0,3.0,.667,0.0,0.0,.000,2.0,2.0,1.00,2.0,3.0,.667,2.000,0.67
bos,Kendrick Perkins, C,10,0,3.5,2.2,0.5,0.9,1.4,0.3,0.00,0.20,0.5,0.6,0.6,22.8,0.8,1.5,.533,0.0,0.0,.000,0.6,0.9,0.67,0.8,1.5,.533,1.467,0.53
bos,Brandon Hunter, PF,36,12,11.3,3.5,1.4,1.9,3.3,0.5,0.36,0.03,0.6,1.1,0.9,12.7,1.5,3.2,.457,0.0,0.1,.000,0.5,1.2,0.44,1.5,3.1,.469,1.078,0.46
bos,Kedrick Brown, SG†,21,10,19.4,5.2,0.9,2.4,3.2,1.2,0.81,0.10,0.6,1.8,2.1,12.5,2.1,4.7,.455,0.6,1.5,.375,0.4,0.6,0.62,1.5,3.2,.493,1.111,0.52
bos,Michael Stewart, PF†,17,0,4.2,0.3,0.2,0.5,0.6,0.0,0.06,0.12,0.1,0.8,0.0,4.3,0.1,0.3,.400,0.0,0.0,.000,0.1,0.1,0.50,0.1,0.3,.400,1.000,0.40
bos,Paul Pierce, SF,80,80,38.7,23.0,0.9,5.7,6.5,5.1,1.64,0.65,3.8,2.9,1.4,19.4,7.5,18.7,.402,1.4,4.8,.299,6.5,7.9,0.82,6.1,13.9,.438,1.226,0.44
bos,Tony Battie, C†,23,6,21.8,5.9,1.7,3.4,5.1,0.9,0.35,0.87,1.0,2.4,0.9,12.0,2.4,5.1,.479,0.0,0.0,1.000,1.0,1.4,0.70,2.4,5.1,.474,1.162,0.48
bos,Chucky Atkins, PG†,24,24,33.0,12.0,0.1,1.8,1.9,5.3,1.08,0.04,1.8,1.8,2.9,12.1,4.3,10.4,.418,1.6,4.6,.351,1.8,2.3,0.78,2.7,5.8,.471,1.161,0.50
