PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,AFG%
Wally Szczerbiak,SG,72,71,37.922222222222224,18.944444444444443,1.0777777777777777,3.322222222222222,4.355555555555556,2.977777777777778,0.5566666666666666,0.2688888888888889,1.9333333333333331,2.1222222222222222,6.855555555555556,14.088888888888889,0.48655555555555563,1.4555555555555555,3.5555555555555554,0.40022222222222226,3.8777777777777778,4.333333333333333,0.8999999999999999,5.4,10.533333333333333,0.5154444444444445,0.5355555555555556
Orien Greene,PG,80,5,15.4,3.2,0.5,1.4,1.8,1.6,0.96,0.13,1.4,2.3,1.3,3.2,0.395,0.1,0.5,0.225,0.6,0.9,0.66,1.2,2.7,0.42700000000000005,0.41
Ricky Davis,SG,78,78,41.13846153846154,19.423076923076923,0.8615384615384616,3.6846153846153844,4.546153846153847,5.069230769230769,1.17,0.21461538461538465,2.7,2.4769230769230766,7.476923076923076,16.715384615384615,0.4478461538461539,0.9538461538461539,3.1384615384615384,0.30246153846153845,3.5615384615384618,4.407692307692307,0.7992307692307693,6.523076923076922,13.576923076923077,0.4806923076923077,0.47615384615384615
Raef LaFrentz,C,82,63,24.8,7.800000000000001,1.0,4.0,5.0,1.4,0.35,0.88,0.8000000000000002,3.2999999999999994,2.9,6.699999999999999,0.431,1.4,3.5,0.39199999999999996,0.6,0.8999999999999999,0.68,1.5,3.2000000000000006,0.4739999999999999,0.53
Kendrick Perkins,C,68,40,19.6,5.2,2.1,3.9,5.9,1.0,0.31,1.54,1.6,2.9,2.0,3.9,0.515,0.0,0.0,0.0,1.2,1.9,0.62,2.0,3.9,0.519,0.52
Dan Dickau,PG,19,0,12.3,3.3,0.3,0.6,0.8,2.1,0.58,0.05,0.9,2.1,0.9,2.4,0.37,0.5,1.1,0.5,0.9,0.9,1.0,0.4,1.3,0.26899999999999996,0.48
Tony Allen,SG,51,9,19.2,7.2,0.6,1.5,2.2,1.3,1.0,0.35,1.3,2.5,2.5,5.4,0.47100000000000003,0.2,0.7,0.324,2.0,2.6,0.75,2.3,4.7,0.49200000000000005,0.49
Brian Scalabrine,PF,71,1,13.2,2.9,0.4,1.2,1.6,0.7,0.3,0.27,0.7,1.8,1.0,2.7,0.38299999999999995,0.4,1.2,0.35600000000000004,0.4,0.5,0.72,0.6,1.5,0.406,0.4600000000000001
Paul Pierce,SF,79,79,39.0,26.800000000000004,1.0,5.7,6.700000000000001,4.7,1.35,0.43,3.5,2.8,8.7,18.5,0.47100000000000003,1.4,4.0,0.354,7.9,10.3,0.77,7.299999999999999,14.5,0.503,0.51
Delonte West,SG,71,71,34.1,11.8,0.8,3.3,4.1,4.6,1.18,0.65,1.9000000000000001,2.8,4.7,9.6,0.4870000000000001,1.2,3.1,0.385,1.2,1.4,0.85,3.5,6.5,0.534,0.55
Ryan Gomes,SF,61,33,22.6,7.6,1.7,3.2,4.9,1.0,0.57,0.08,0.9,1.4,2.8,5.8,0.48700000000000004,0.0,0.1,0.33299999999999996,1.8,2.4,0.75,2.8,5.7,0.491,0.49
