,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"A.C. Green,F",,2250000,,,,,,,,,,,,,,
"A.J. Price,PG",,,,,,,,,,,,762195,,,,866879
"Aaron Brooks,PG",,,,,,,,,972720,1045560,1118520,2016692,2016692,2400000,884293,
"Aaron Gordon,PF",,,,,,,,,,,,,,,,3992040
"Aaron Gray,C",,,,,,,,,427163,711517,1000497,1028840,2500000,2575000,2690875,1227985
"Aaron McKie,SG",,1820000,,4500000,5000000,5500000,2500000,2500000,7000000,,,,,,,
"Aaron Williams,C",,,2475000,,2925000,3150000,3375000,1750000,1890000,,,,,,,
"Acie Law,PG",,,,,,,,,1927080,2071680,2216160,633253,633253,633253,,
"Adam Keefe,F",,3390000,,,,,,,,,,,,,,
"Adam Morrison,SF",,,,,,,,3616680,3887880,4159200,5257229,,,,,
"Adonal Foyle,C",,3578000,4400000,4400000,4400000,,7312500,8125000,1219590,,,,,,,
"Adreian Payne,PF",,,,,,,,,,,,,,,,1855320
"Adrian Griffin,SG",,498000,648000,,,,844537,1475000,1593000,,,,,,,
"Al Harrington,PF",745000,797000,1436000,2110000,,,6975500,7625000,8425625,9226250,10026875,5765000,6226200,7148600,,
"Al Horford,C",,,,,,,,,3745800,4023720,4307640,5444857,12498483,12000000,12000000,12000000
"Al Jefferson,C",,,,,,,1512840,1618320,2480885,11000000,12000000,13000000,15000000,13500000,13500000,13500000
"Al Thornton,SF",,,,,,,,,1652280,1776240,1900200,211084,211084,211084,,
"Al-Farouq Aminu,SF",,,,,,,,,,,,2563320,2755560,2947800,3749602,
"Alan Anderson,SG",,,,,,,,128935,,,,,213597,,947907,1276061
"Alan Henderson,PF",5318000,5909000,6500000,7091000,7682000,8273000,,70075,,,,,,,,
"Alando Tucker,SF",,,,,,,,,931920,1001880,1071720,1071720,1071720,1071720,,
"Alec Burks,PG",,,,,,,,,,,,,2111160,2111160,2202000,3034356
"Aleksandar Radojevic,C",1325000,1425000,,,,,,,,,,,,,,
"Alex Len,C",,,,,,,,,,,,,,,3492720,3649920
"Alexander Johnson,SF",,,,,,,,,,,29135,,885120,885120,,
"Alexey Shved,PG",,,,,,,,,,,,,,2934610,3150000,3282056
"Alexis Ajinca,C",,,,,,,,,1276320,1276320,1372080,1467840,1467840,1467840,635880,981084
"Allan Houston,SG",,9000000,10000000,11000000,15937000,17531000,,,,,,,,,,
"Allen Crabbe,SG",,,,,,,,,,,,,,,825000,862000
"Allen Iverson,SG",,,,,,,16453125,17184375,19012500,20840625,650686,650686,650686,650686,,
"Alonzo Gee,SF",,,,,,,,,,,45759,641141,,,3250000,915243
"Alonzo Mourning,C",15004000,16879000,18756000,,,,1138500,,2762500,,,,,,,
"Alvin Jones,C",,,332000,,,,,,,,,,,,,
"Alvin Williams,PG",,2100000,5350000,5350000,5500000,,6300000,,,,,,,,,
"Amal McCaskill,C",,,541000,612000,,,,,,,,,,,,
